College ID,College Name,Branch ID,Branch Name,Status,Is State Level,Seat Type,Category,Cutoff Merit No,Score / Percentile,Year,Stage,Category_Group,Seat_Level
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,TFWS,18803.0,89.9192371,2022,II,TFWS,State
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,DEFROBCS,110745.0,18.3037194,2022,II,OBC,State
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,EWS,35192.0,80.8718313,2022,II,EWS,State
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,GOPENS,15492.0,91.6047864,2022,II,OPEN,State
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,GSCS,22933.0,87.6299679,2022,II,SC,State
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,GSTS,64864.0,61.8814494,2022,II,ST,State
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,GVJS,28519.0,84.6390824,2022,II,VJ,State
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,GNT1S,20509.0,88.9823699,2022,II,NT1,State
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,GNT2S,19466.0,89.5056923,2022,II,NT2,State
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,GNT3S,26282.0,85.8374792,2022,II,NT3,State
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,GOBCS,15967.0,91.4536974,2022,II,OBC,State
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,LOPENS,14248.0,92.3335702,2022,II,OPEN,Home_University
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,LSCS,22745.0,87.7973797,2022,II,SC,Home_University
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,LSTS,102922.0,27.3337429,2022,II,ST,Home_University
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,LVJS,44740.0,75.3508645,2022,II,VJ,Home_University
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,LNT1S,20321.0,89.0594645,2022,II,NT1,Home_University
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,LNT2S,27605.0,85.0225065,2022,II,NT2,Home_University
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,Government Autonomous,1,State Level,LOBCS,13964.0,92.4845102,2022,II,OBC,Home_University
