College ID,College Name,Branch ID,Branch Name,Seat Type,Category,Category_Group,Status,Is State Level,score_2022,score_2023,score_2024,delta_22_23,delta_23_24,avg_delta,trend_slope,score_3yr_mean,score_3yr_std,Branch Name_enc,Seat Type_enc,Category_enc,Category_Group_enc,Status_enc
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,State Level,TFWS,TFWS,Government Autonomous,1,89.9192371,90.1850615,90.8058519,0.2658243999999996,0.62079039999999,0.4433073999999948,0.35496599999999034,90.3033835,0.4549961787287392,29,2,45,9,2
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,State Level,DEFOPENS,OPEN,Government Autonomous,1,83.4474115,78.4161664,92.8871646,-5.031245100000007,14.470998200000011,4.719876550000002,19.502243300000018,84.91691416666667,7.346565577983104,35,2,1,5,2
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,State Level,DEFROBCS,OBC,Government Autonomous,1,77.0666918,72.394012,80.5358903,-4.672679799999997,8.141878300000002,1.7345992500000023,12.8145581,76.66553136666667,4.085736510466242,35,2,3,4,2
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,State Level,EWS,EWS,Government Autonomous,1,91.1864731,91.7108778,92.1089443,0.5244047000000052,0.39806649999999877,0.46123560000000197,-0.1263382000000064,91.66876506666667,0.4626752537568497,35,2,5,0,2
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,State Level,GNT1S,NT1,Government Autonomous,1,88.9823699,92.8593873,91.6557848,3.8770173999999997,-1.2036024999999881,1.3367074500000058,-5.080619899999988,91.16584733333333,1.9844004184913155,35,2,7,1,2
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,State Level,GNT2S,NT2,Government Autonomous,1,89.5056923,91.2629338,92.6335559,1.7572414999999921,1.3706221000000056,1.5639317999999989,-0.3866193999999865,91.13406066666668,1.567909081682544,35,2,9,2,2
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,State Level,GNT3S,NT3,Government Autonomous,1,85.8374792,87.6984872,89.2671256,1.8610079999999982,1.5686383999999975,1.7148231999999979,-0.2923696000000007,87.60103066666666,1.7168989309727134,35,2,11,3,2
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,State Level,GOBCS,OBC,Government Autonomous,1,91.4536974,93.0014674,93.8694333,1.5477699999999999,0.8679659000000015,1.2078679500000007,-0.6798040999999984,92.77486603333334,1.223705895699046,35,2,13,4,2
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,State Level,GOPENS,OPEN,Government Autonomous,1,91.6047864,93.495874,94.1713006,1.8910876000000059,0.6754265999999944,1.2832571000000002,-1.2156610000000114,93.09065366666665,1.3303764217733627,35,2,16,5,2
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,State Level,GSCS,SC,Government Autonomous,1,87.6299679,88.5960295,88.9034341,0.9660616000000033,0.30740459999999814,0.6367331000000007,-0.6586570000000052,88.37647716666667,0.6645159598833535,35,2,18,7,2
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,State Level,GSTS,ST,Government Autonomous,1,61.8814494,56.656397,72.5041736,-5.225052400000003,15.847776600000003,5.3113621,21.072829000000006,63.68067333333334,8.0756368704014,35,2,20,8,2
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,State Level,GVJS,VJ,Government Autonomous,1,84.6390824,87.3774785,88.7742666,2.7383960999999886,1.396788100000009,2.067592099999999,-1.3416079999999795,86.93027583333333,2.1035517014772265,35,2,22,10,2
